id	text	target	category	polarity
1125284:2	sign special menu food even waitstaff totally japanese 	food	FOOD#QUALITY	positive
1125284:2	sign special menu food even waitstaff totally japanese 	waitstaff	SERVICE#GENERAL	positive
1125284:3	place worth one hour drive 	place	RESTAURANT#GENERAL	positive
1125284:4	coming back much 	NULL	RESTAURANT#GENERAL	positive
1126814:0	leon east village gem casual hip well prepared basic french bistro fare good special warm lively atmosphere 	Leon	RESTAURANT#GENERAL	positive
1126814:0	leon east village gem casual hip well prepared basic french bistro fare good special warm lively atmosphere 	Leon	AMBIENCE#GENERAL	positive
1126814:0	leon east village gem casual hip well prepared basic french bistro fare good special warm lively atmosphere 	specials	FOOD#QUALITY	positive
1126814:0	leon east village gem casual hip well prepared basic french bistro fare good special warm lively atmosphere 	atmosphere	AMBIENCE#GENERAL	positive
1126814:0	leon east village gem casual hip well prepared basic french bistro fare good special warm lively atmosphere 	French bistro fare	FOOD#QUALITY	positive
1126814:1	wife always enjoy young always well trained nevertheless friendly staff story 	staff	SERVICE#GENERAL	positive
1126814:3	decent wine reasonable price 	wine	DRINKS#QUALITY	neutral
1126814:3	decent wine reasonable price 	wine	DRINKS#PRICES	positive
1126814:4	dozen time never failed enjoy experience 	NULL	RESTAURANT#GENERAL	positive
1126814:5	teenage kid love 	NULL	RESTAURANT#GENERAL	positive
1126886:0	everytime decide try another place ues get angry didn go zucchero pomodori 	Zucchero Pomodori	RESTAURANT#GENERAL	positive
1126886:1	far favorite place neighborhood 	place	RESTAURANT#GENERAL	positive
1126886:2	service excellent decor great food delicious come large portion 	service	SERVICE#GENERAL	positive
1126886:2	service excellent decor great food delicious come large portion 	decor	AMBIENCE#GENERAL	positive
1126886:2	service excellent decor great food delicious come large portion 	food	FOOD#QUALITY	positive
1126886:2	service excellent decor great food delicious come large portion 	portions	FOOD#STYLE_OPTIONS	positive
1126886:4	partial gnocchi 	Gnocchi	RESTAURANT#GENERAL	positive
1131595:0	place incredibly tiny 	place	AMBIENCE#GENERAL	negative
1131595:1	refuse seat party 3 weekend 	NULL	SERVICE#GENERAL	negative
1131595:2	hostess rude point offensive 	hostess	SERVICE#GENERAL	negative
1131595:3	food bland oily 	food	FOOD#QUALITY	negative
1131595:4	understand hype 	NULL	RESTAURANT#GENERAL	negative
1138996:1	place many time always great food wine service 	food	FOOD#QUALITY	positive
1138996:1	place many time always great food wine service 	wine	DRINKS#QUALITY	positive
1138996:1	place many time always great food wine service 	service	SERVICE#GENERAL	positive
1138996:2	worried would trouble getting somehow managed short wait 	wait	SERVICE#GENERAL	positive
1138996:3	always great glass wine waited 	glass of wine	DRINKS#QUALITY	positive
1138996:4	sat got great fast service 	service	SERVICE#GENERAL	positive
1138996:5	people work always friendly forget new york sometimes 	people	SERVICE#GENERAL	positive
1138996:6	make sure try place often 	place	RESTAURANT#GENERAL	positive
1145510:0	fun restaurant go 	restaurant	RESTAURANT#GENERAL	positive
1145510:1	pizza yummy like atmoshpere 	pizza	FOOD#QUALITY	positive
1145510:1	pizza yummy like atmoshpere 	atmoshpere	AMBIENCE#GENERAL	positive
1145510:2	pizza way expensive 	pizza	FOOD#PRICES	negative
1147082:0	went lunch good expected review read 	lunch	FOOD#QUALITY	negative
1147082:1	sauce watery food didn much flavor 	Sauce	FOOD#QUALITY	negative
1147082:1	sauce watery food didn much flavor 	food	FOOD#QUALITY	negative
1147082:3	think would go 	NULL	RESTAURANT#GENERAL	negative
1147211:0	place great 	place	RESTAURANT#GENERAL	positive
1147211:1	huge group birthday well taken care 	NULL	SERVICE#GENERAL	positive
1147211:2	waitress patient u food phenomenal 	waitress	SERVICE#GENERAL	positive
1147211:2	waitress patient u food phenomenal 	food	FOOD#QUALITY	positive
1147211:3	service prompt friendly great 	Service	SERVICE#GENERAL	positive
1147211:4	slightly pricey side worth 	NULL	RESTAURANT#PRICES	negative
1147211:4	slightly pricey side worth 	NULL	RESTAURANT#GENERAL	positive
1153034:0	great pizza fantastic service 	pizza	FOOD#QUALITY	positive
1153034:0	great pizza fantastic service 	service	SERVICE#GENERAL	positive
1153034:1	small wait shorter expected 	wait	SERVICE#GENERAL	positive
1153034:2	located end magnificent block 	NULL	LOCATION#GENERAL	positive
1153034:3	cozy warm inside 	NULL	AMBIENCE#GENERAL	positive
1153034:4	back 	NULL	RESTAURANT#GENERAL	positive
1154550:0	best sushi new york city hand 	sushi	FOOD#QUALITY	positive
1154550:1	place small cramped food fantastic 	place	AMBIENCE#GENERAL	negative
1154550:1	place small cramped food fantastic 	food	FOOD#QUALITY	positive
1154550:2	get tuna gari 	tuna of gari	FOOD#QUALITY	positive
1162037:0	planet thailand always hit go usually sushi great thai food excellent 	sushi	FOOD#QUALITY	positive
1162037:0	planet thailand always hit go usually sushi great thai food excellent 	thai food	FOOD#QUALITY	positive
1162037:0	planet thailand always hit go usually sushi great thai food excellent 	Planet Thailand	RESTAURANT#GENERAL	positive
1162037:1	great variety menu eat often never get bored 	menu	FOOD#STYLE_OPTIONS	positive
1162037:2	atmosphere isn greatest suppose keep price 	atmosphere	AMBIENCE#GENERAL	negative
1162037:2	atmosphere isn greatest suppose keep price 	NULL	RESTAURANT#PRICES	positive
1162037:3	food 	food	FOOD#QUALITY	positive
1167434:1	first took u long time find place 	place	RESTAURANT#MISCELLANEOUS	negative
1167434:3	looked menu weren lot choice dumpling appetizer section 	menu	FOOD#STYLE_OPTIONS	negative
1167434:5	roll big good sashimi wasn fresh 	rolls	FOOD#STYLE_OPTIONS	neutral
1167434:5	roll big good sashimi wasn fresh 	rolls	FOOD#QUALITY	negative
1167434:5	roll big good sashimi wasn fresh 	sashimi	FOOD#QUALITY	negative
1167434:6	dry disgusting didn even finish first piece 	NULL	FOOD#QUALITY	negative
1175958:0	hurley like cheer everyone know name actually glad came 	NULL	SERVICE#GENERAL	positive
1175958:1	try crunchy tuna die 	crunchy tuna	FOOD#QUALITY	positive
1175958:2	try everything matter good 	NULL	FOOD#QUALITY	positive
1175958:3	going since opened get enough 	NULL	RESTAURANT#GENERAL	positive
1189674:0	first went enjoy garden terrace 	garden terrace	AMBIENCE#GENERAL	positive
1189674:1	food amazing service prompt helpful bearing rushed 	food	FOOD#QUALITY	positive
1189674:1	food amazing service prompt helpful bearing rushed 	service	SERVICE#GENERAL	positive
1189674:2	steak tartare great bet fix table 	Steak Tartare	FOOD#STYLE_OPTIONS	positive
1189674:3	admittedly night inside restaurant rather warm open kitchen part charm 	open kitchen	AMBIENCE#GENERAL	positive
1189674:3	admittedly night inside restaurant rather warm open kitchen part charm 	restaurant	AMBIENCE#GENERAL	negative
1189674:4	great wine selection gigondas worth price house champagne great value 	wine selection	DRINKS#STYLE_OPTIONS	positive
1189674:4	great wine selection gigondas worth price house champagne great value 	Gigondas	DRINKS#QUALITY	positive
1189674:4	great wine selection gigondas worth price house champagne great value 	house champagne	DRINKS#PRICES	positive
1189674:5	may bit packed weekend vibe good best french food find area 	NULL	AMBIENCE#GENERAL	neutral
1189674:5	may bit packed weekend vibe good best french food find area 	vibe	AMBIENCE#GENERAL	positive
1189674:5	may bit packed weekend vibe good best french food find area 	French food	FOOD#QUALITY	positive
1189674:6	recommended place friend always get good response 	place	RESTAURANT#MISCELLANEOUS	positive
1199292:0	pizza pizza nyc additional topping crust taste like best freshly baked bread 	crust	FOOD#QUALITY	positive
1199292:0	pizza pizza nyc additional topping crust taste like best freshly baked bread 	pizza	FOOD#QUALITY	positive
1199292:3	take nyc guest vt 	VT's	RESTAURANT#MISCELLANEOUS	positive
1199480:0	sure previous reviewer lonk dined saul great neighborhood great food 	neighborhood	LOCATION#GENERAL	positive
1199480:0	sure previous reviewer lonk dined saul great neighborhood great food 	food	FOOD#QUALITY	positive
1199480:1	three time always wonderful experience 	NULL	RESTAURANT#GENERAL	positive
1199480:2	highly recommend special occasion provides intimate setting nice service 	setting	AMBIENCE#GENERAL	positive
1199480:2	highly recommend special occasion provides intimate setting nice service 	service	SERVICE#GENERAL	positive
1199480:2	highly recommend special occasion provides intimate setting nice service 	NULL	RESTAURANT#MISCELLANEOUS	positive
1205520:0	sure reviewer ate seems visited two different restaurant friend enjoy mizu much re repeat customer 	Mizu	RESTAURANT#GENERAL	positive
1205520:1	even overcharged last time 	NULL	SERVICE#GENERAL	negative
1205520:2	make sure spicy scallop roll 	Spicy Scallop roll	FOOD#QUALITY	positive
1205520:3	delicious 	NULL	FOOD#QUALITY	positive
1212346:0	moules excellent lobster ravioli salty 	Moules	FOOD#QUALITY	positive
1212346:0	moules excellent lobster ravioli salty 	lobster ravioli	FOOD#QUALITY	negative
1212346:1	took mom mother day maitre pretty rude 	maitre d'	SERVICE#GENERAL	negative
1212346:2	told u sit anywhere sat said table reserved 	NULL	SERVICE#GENERAL	negative
1212346:3	stepped foot second time reached adjust lighting 	NULL	SERVICE#GENERAL	negative
1212346:4	tiny dessert 8 00 plain overpriced 	dessert	FOOD#QUALITY	negative
1212346:4	tiny dessert 8 00 plain overpriced 	dessert	FOOD#STYLE_OPTIONS	negative
1212346:4	tiny dessert 8 00 plain overpriced 	dessert	FOOD#PRICES	negative
1221938:0	drink always welll made wine selection fairly priced 	drinks	DRINKS#QUALITY	positive
1221938:0	drink always welll made wine selection fairly priced 	wine selection	DRINKS#PRICES	positive
1221938:1	try chef special die 	chef's specials	FOOD#QUALITY	positive
1221938:2	service exactly five star thats really big deal 	Service	SERVICE#GENERAL	neutral
1221938:3	downstairs lounge always good attraction 	Downstairs lounge	AMBIENCE#GENERAL	positive
1225162:0	raga romantic cozy restaurant 	Raga's	AMBIENCE#GENERAL	positive
1225162:1	exotic food beautifully presented delight delicious combination 	exotic food	FOOD#STYLE_OPTIONS	positive
1225162:1	exotic food beautifully presented delight delicious combination 	exotic food	FOOD#QUALITY	positive
1225162:2	also extremely well priced 	NULL	FOOD#PRICES	positive
1225162:3	staff incredibly helpful attentive 	staff	SERVICE#GENERAL	positive
1225162:4	bar well stocked interesting beer well priced wine 	bar	DRINKS#STYLE_OPTIONS	positive
1225162:4	bar well stocked interesting beer well priced wine 	beers	DRINKS#STYLE_OPTIONS	positive
1225162:4	bar well stocked interesting beer well priced wine 	wines	DRINKS#PRICES	positive
1225162:5	one favorite restaurant missed 	NULL	RESTAURANT#GENERAL	positive
1225162:6	friend thank introducing gem 	NULL	RESTAURANT#GENERAL	positive
1227999:0	stumbled leon thought found quite gem certainly wrong 	Leon	RESTAURANT#GENERAL	negative
1227999:1	waitress moved table practically bathroom asked cancel dinner order want eat sitting toilet told 	waitress	SERVICE#GENERAL	negative
1227999:2	top thing dropped used silverware boyfriend jacket stop apologize clean mess left clothes 	NULL	SERVICE#GENERAL	negative
1227999:3	disappointment 	NULL	SERVICE#GENERAL	negative
1227999:4	rude service medicore food ton restaurant ny stay away one 	service	SERVICE#GENERAL	negative
1227999:4	rude service medicore food ton restaurant ny stay away one 	food	FOOD#QUALITY	neutral
1227999:4	rude service medicore food ton restaurant ny stay away one 	NULL	RESTAURANT#GENERAL	negative
1230993:0	grat time jekyll hyde 	Jekyll and Hyde	RESTAURANT#GENERAL	positive
1230993:1	loved everythig especially show actor 	NULL	RESTAURANT#GENERAL	positive
1230993:1	loved everythig especially show actor 	shows	AMBIENCE#GENERAL	positive
1230993:1	loved everythig especially show actor 	actors	AMBIENCE#GENERAL	positive
1230993:2	server helpful friendly 	server	SERVICE#GENERAL	positive
1230993:3	bringing whole family back next time 	NULL	RESTAURANT#MISCELLANEOUS	positive
1230993:4	food good 	food	FOOD#QUALITY	positive
1232468:0	tuna wasabe potato excellent 	tuna	FOOD#QUALITY	positive
1232468:0	tuna wasabe potato excellent 	wasabe potatoes	FOOD#QUALITY	positive
1232468:1	outdoor atmosphere sitting sidewalk watching world go 50 foot away 6th avenue cool evening wonderful 	outdoor atmosphere	LOCATION#GENERAL	positive
1232468:2	inside little cramped expected 	NULL	AMBIENCE#GENERAL	neutral
1232468:3	service prompt courteous 	Service	SERVICE#GENERAL	positive
1232468:4	repeat visit ll definitely back 	NULL	RESTAURANT#GENERAL	positive
1241906:0	great service great food 	service	SERVICE#GENERAL	positive
1241906:0	great service great food 	food	FOOD#QUALITY	positive
1241906:1	price line 	NULL	RESTAURANT#PRICES	neutral
1241906:3	far east 	NULL	LOCATION#GENERAL	negative
1253117:1	pizza delicious use fresh mozzarella instead cheap frozen shredded cheese common pizzaria 	pizza	FOOD#QUALITY	positive
1253117:1	pizza delicious use fresh mozzarella instead cheap frozen shredded cheese common pizzaria 	fresh mozzarella	FOOD#QUALITY	positive
1253117:2	two complaint appetizer selection stink would nice get mozzarella stick menu 	appetizer selection	FOOD#STYLE_OPTIONS	negative
1253117:3	also thin get cold quickly filling 	NULL	FOOD#QUALITY	negative
1253117:3	also thin get cold quickly filling 	NULL	FOOD#STYLE_OPTIONS	negative
1253117:5	wait staff blantently unappreciative business best pie uws 	Wait staff	SERVICE#GENERAL	negative
1253117:5	wait staff blantently unappreciative business best pie uws 	pie	FOOD#QUALITY	positive
1256373:0	far best salad fast food restaurant 	salad	FOOD#QUALITY	positive
1256373:1	fine dining restaurant quality 	dining	FOOD#QUALITY	positive
1256373:2	100 different choice create 	NULL	FOOD#STYLE_OPTIONS	positive
1256373:3	must try 	NULL	RESTAURANT#GENERAL	positive
1264954:0	recent sunday afternoon friend accidently found great restaurant way see pulitzer prize winning play doubt 	restaurant	RESTAURANT#GENERAL	positive
1264954:1	perfect quiet relaxing delicious accompaniment afternoon theater 	NULL	FOOD#QUALITY	positive
1264954:1	perfect quiet relaxing delicious accompaniment afternoon theater 	NULL	AMBIENCE#GENERAL	positive
1264954:2	chicken pot pie excpetiona cheeseburger huge delictable service professional wan warm 	chicken pot pie	FOOD#QUALITY	positive
1264954:2	chicken pot pie excpetiona cheeseburger huge delictable service professional wan warm 	cheeseburger	FOOD#STYLE_OPTIONS	positive
1264954:2	chicken pot pie excpetiona cheeseburger huge delictable service professional wan warm 	cheeseburger	FOOD#QUALITY	positive
1264954:2	chicken pot pie excpetiona cheeseburger huge delictable service professional wan warm 	service	SERVICE#GENERAL	positive
1264954:3	many poor experience theater district truly excellent find 	NULL	RESTAURANT#GENERAL	positive
1264954:4	return many time oasis mid town 	NULL	RESTAURANT#GENERAL	positive
1269216:1	staff nonsense 	staff	SERVICE#GENERAL	positive
1269216:2	food option rule 	food	FOOD#STYLE_OPTIONS	positive
1269216:3	lived upstate would buy freeze bagel would still better else 	bagels	FOOD#QUALITY	positive
1269216:4	worth visiting 1st ave spot original store 	1st Ave spot	RESTAURANT#MISCELLANEOUS	positive
1275154:4	served uni hand roll never let tell heaven 	Uni Hand roll	FOOD#QUALITY	positive
1275154:6	sake menu overlooked 	sake menu	DRINKS#STYLE_OPTIONS	positive
1275154:7	midtown gem instantly became one favorite sushi restaurant city 	NULL	RESTAURANT#GENERAL	positive
1275154:8	try lobster teriyaki rose special roll 	lobster teriyaki	FOOD#QUALITY	positive
1275154:8	try lobster teriyaki rose special roll 	rose special roll	FOOD#QUALITY	positive
1280166:1	service good prompt attentive non intrusive 	Service	SERVICE#GENERAL	positive
1280166:2	food good well considering tried budget selection though wish pork belly ordered roasted bit longer fat melt mouth experience 	Food	FOOD#QUALITY	positive
1280166:2	food good well considering tried budget selection though wish pork belly ordered roasted bit longer fat melt mouth experience 	pork belly	FOOD#QUALITY	negative
1280166:3	wine list selection good wine glass generously filled top 	Wine list selection	DRINKS#STYLE_OPTIONS	positive
1280166:3	wine list selection good wine glass generously filled top 	wine-by-the-glass	DRINKS#STYLE_OPTIONS	positive
